id,source,title,url,published_at,content_length,images_count,content
1,Kompas,Alasan Bek Andalan Persib Federico Barba Pulang ke Italia,https://bola.kompas.com/read/2025/11/15/14325168/alasan-bek-andalan-persib-federico-barba-pulang-ke-italia,2025-11-15T07:32:51+00:00,2162,1,"KOMPAS.com -
Bek Persib Bandung Federico Barba absen pada laga melawan Selangor FC, di ajang AFC Champions League Two (ACL 2) 2025-2026, 6 November silam di Malaysia.
Pelatih Persib Bojan Hodak sudah mengabarkan bahwa sang pemain mengalami gangguan kesehatan hingga harus diistirahatkan beberapa waktu.
Federico Barba tidak terlihat dalam sesi latihan Persib belakangan ini. Rupanya Eks
Como 1907
itu memutuskan untuk pulang ke negaranya, persisnya di Roma, Italia.
Staf pelatih dan manajemen Persib ..."
2,Kompas,"Pelatih Persib Bojan Hodak Bertemu Luka Modric, Ada Apa?",https://bola.kompas.com/read/2025/11/15/14124538/pelatih-persib-bojan-hodak-bertemu-luka-modric-ada-apa,2025-11-15T07:12:45+00:00,2823,2,"KOMPAS.com -
Pelatih Persib Bandung Bojan Hodak tengah banyak diperbincangkan penggemar sepak bola di Tanah Air. Ia dirumorkan jadi salah satu kandidat pelatih Timnas Indonesia pengganti Patrick Kluivert.
Namun, saat rumor itu santer beredar Bojan Hodak rupanya tengah berada di negaranya Kroasia. Ia bahkan bertemu dengan pelatih
Timnas Kroasia
saat ini
Zlatko Dalic
, dan sang kapten tim
Luka Modric
.
Rumor Bojan Hodak akan jadi pelatih
Timnas Indonesia
sudah tegas dibantah manajemen
Persib
. Ada..."
3,Kompas,Reaksi Manajemen Persib Usai Disanksi Rp 115 Juta oleh Komdis PSSI,https://bola.kompas.com/read/2025/11/15/14122648/reaksi-manajemen-persib-usai-disanksi-rp-115-juta-oleh-komdis-pssi,2025-11-15T07:12:26+00:00,3523,1,"KOMPAS.com -
Komite Disiplin PSSI (Komdis) PSSI menjathkan denda kepada Persib Bandung terkait ulah suporter di laga tandang lawan Bali United pada 1 November 2025.
Beberapa suporter
Persib Bandung
yang biasa dikenal Bobotoh tampak membuat ulah di Stadion Kapten I Wayan Dipta, Gianyar, Bali, pada laga pekan ke-11
Super League 2025-2026
.
Berdasarkan sidang putusan
Komdis PSSI
pada 6 November, Persib dijatuhi denda total Rp 115 juta.
Hukuman diberikan atas tiga pelanggaran, pertama Bobotoh yang m..."
4,Kompas,Top Skor Liga Kamboja Ramon Tanque Ungkap Kesulitannya di Persib,https://bola.kompas.com/read/2025/11/15/14075868/top-skor-liga-kamboja-ramon-tanque-ungkap-kesulitannya-di-persib,2025-11-15T07:07:58+00:00,2361,1,"BANDUNG, KOMPAS.com -
Top skor Liga Kamboja, Ramon Tanque, yang kini membela Persib Bandung mengutarakan kesulitannya mencetak gol di Liga Indonesia.
Penyerang yang didatangkan
Persib
Bandung di awal musim
Super League 2025-2026
sebagai lumbung gol tersebut justru mengalami kebuntuan.
Ramon Tanque
belum mencetak satu gol pun bagi Maung Bandung.
Penyerang asal Brasil tersebut masih belum memecah kebuntuan dalam 12 penampilannya bersama Persib di berbagai ajang.
Sang bomber bukannya tanpa kesempat..."
5,Kompas,Rizky Ridho Tak Menyangka Golnya Berpeluang Raih FIFA Puskas Award 2025,https://bola.kompas.com/read/2025/11/15/08422138/rizky-ridho-tak-menyangka-golnya-berpeluang-raih-fifa-puskas-award-2025,2025-11-15T01:42:21+00:00,2670,1,"KOMPAS.com
– Bek Persija, Rizky Ridho Ramadhani, tidak menyangka gol jarak jauhnya di Liga 1 2024-2025 kini masuk nominasi FIFA Puskas Award 2025.
Gol itu sebelumnya terpilih sebagai Goal of the Season, lalu berlanjut menjadi salah satu kandidat gol terbaik dunia versi FIFA.
Kini, gol
Rizky Ridho
tergabung dalam 11 nominasi
FIFA Puskas Award 2025
.
FIFA Puskas Award 2025 merangkum gol-gol terbaik yang dicetak sepanjang 11 Agustus 2024 hingga 2 Agustus 2025.
Penggemar sepak bola bisa melakukan vo..."
6,Kompas,Sosok Pelatih Persib Bojan Hodak di Mata Thom Haye,https://bola.kompas.com/read/2025/11/14/23300758/sosok-pelatih-persib-bojan-hodak-di-mata-thom-haye,2025-11-14T16:30:07+00:00,2864,1,"KOMPAS.com -
Pelatih Persib Bandung, Bojan Hodak, baru-baru ini kencang dirumorkan menjadi salah satu kandidat pelatih Timnas Indonesia.
Rumor tersebut muncul tidak lepas dari kesuksesan
Bojan Hodak
membawa gelar beruntun bersama
Persib
Bandung untuk musim Liga 1 2023-2024 dan 2024-2025.
Tak hanya penampilan di dalam lapangan, Hodak dianggap mampu membuat kondisi ruang ganti pemain Persib kondusif.
Sang pelatih berusia 54 tahun tersebut mampu meramu komposisi skuad yang terdiri dari pemain-pemai..."
7,Kompas,Komentar Rizky Ridho Usai Masuk Nominasi Puskas Award 2025,https://bola.kompas.com/read/2025/11/14/14314698/komentar-rizky-ridho-usai-masuk-nominasi-puskas-award-2025,2025-11-14T07:31:46+00:00,2154,1,"KOMPAS.com -
Pemain Persija Jakarta sekaligus Timnas Indonesia, Rizky Ridho masuk dalam daftar nominasi FIFA Puskas Award 2025.
Gol spektakuler
Rizky Ridho
ke gawang Arema FC pada 9 Maret 2025 dalam lanjutan Liga 1 2024-2025 itu membawanya bersaing dengan para pesepakbola terbaik dunia untuk menyabet penghargaan bergengsi tersebut.
Gol Rizky Ridho lahir dari sebuah serangan balik yang terangkai rapi dari sisi kiri penyerangan
Persija
.
Bermula dari penguasaan bolanya di dalam kotak penalti sendi..."
8,Kompas,Ini Cara Ikut Voting Gol Rizky Ridho di FIFA Puskas Award 2025,https://bola.kompas.com/read/2025/11/14/04364718/ini-cara-ikut-voting-gol-rizky-ridho-di-fifa-puskas-award-2025,2025-11-13T21:36:47+00:00,2268,1,"KOMPAS.com
- Berikut adalah cara untuk ikut memilih gol Rizky Ridho yang masuk daftar nominasi FIFA Puskas Award 2025.
Gol tengah lapangan
Rizky Ridho
pada laga Liga 1
Persija Jakarta
vs Arema FC pada 9 Maret 2025 menjadi satu dari 11 gol terpilih yang masuk nominasi FIFA
Puskas Award 2025
.
Nominasi Puskas Award tersebut diberikan untuk gol-gol terbaik menurut pilihan panelis FIFA yang dicetak di seantero dunia antara 11 Agustus 2024 dan 2 Agustus 2025.
Voting dari fans kini akan bergulir hingg..."
9,Kompas,Bangga! Gol Rizky Ridho Masuk Nominasi FIFA Puskas Award 2025,https://bola.kompas.com/read/2025/11/14/04135998/bangga-gol-rizky-ridho-masuk-nominasi-fifa-puskas-award-2025,2025-11-13T21:13:59+00:00,2746,1,"KOMPAS.com
- FIFA telah mengumumkan daftar pendek Puskas Award dan Marta Award yang masing-masing menghargai gol-gol terbaik di sepak bola pria dan wanita. Ada nama bek Persija Jakarta, Rizky Ridho, dalam daftar pendek tersebut.
Nominasi
Puskas Award
dan
Marta Award
tersebut diberikan untuk gol-gol yang dicetak antara 11 Agustus 2024 dan 2 Agustus 2025.
Voting dari fans kini akan bergulir hingga 3 Desember untuk menentukan gol mana yang akan memenangkan penghargaan bergengsi tersebut.
Nama bek
P..."
10,Kompas,Alasan Dua Peserta TC Timnas U22 Tetap Akan Bela Klub di Super League,https://bola.kompas.com/read/2025/11/13/19321078/alasan-dua-peserta-tc-timnas-u22-tetap-akan-bela-klub-di-super-league,2025-11-13T12:32:10+00:00,2684,1,"KOMPAS.com
- Dua pemain PSIM Yogyakarta, Raka Cahyana dan Cahya Supriadi, akan tetap berpartisipasi dalam pertandingan Laskar Mataram di Super League 2025-2026 meski terlibat dalam pemusatan latihan (TC) timnas U22 Indonesia.
TC Timnas U22 Indonesia berlangsung antara 6 hingga 27 November sebagai persiapan untuk
SEA Games 2025
di Thailand.
Selama periode TC tersebut, PSIM dijadwalkan melakoni dua pertandingan di Super League.
Mereka akan bertanding di kandang melawan
Bhayangkara Presisi Lampung ..."
